
> discogs-manager@2.0.0 dev
> ts-node src/index.ts collection query releases count(), artist group by artist order by count desc

count  artist                                                                                                                                                                                                     
   87  Various                                                                                                                                                                                                    
   15  The Cure                                                                                                                                                                                                   
   10  John B                                                                                                                                                                                                     
    8  Kero Kero Bonito                                                                                                                                                                                           
    7  Ming & FS                                                                                                                                                                                                  
    6  Bill Cosby                                                                                                                                                                                                 
    6  DJ Koze                                                                                                                                                                                                    
    6  David Bowie                                                                                                                                                                                                
    6  De La Soul                                                                                                                                                                                                 
    6  Depeche Mode                                                                                                                                                                                               
    6  Frankie Goes To Hollywood                                                                                                                                                                                  
    6  Omni Trio                                                                                                                                                                                                  
    6  µ-Ziq                                                                                                                                                                                                      
    5  4 Hero                                                                                                                                                                                                     
    5  Billy Joel                                                                                                                                                                                                 
    5  Coldcut                                                                                                                                                                                                    
    5  DJ Krush                                                                                                                                                                                                   
    5  DJ Shadow                                                                                                                                                                                                  
    5  DJ Wally                                                                                                                                                                                                   
    5  Depth Charge                                                                                                                                                                                               
    5  Four Tet                                                                                                                                                                                                   
    5  Nightmares On Wax                                                                                                                                                                                          
    5  Plaid                                                                                                                                                                                                      
    5  Pop Will Eat Itself                                                                                                                                                                                        
    5  The B-52's                                                                                                                                                                                                 
    5  Total Science                                                                                                                                                                                              
    5  Visit Venus                                                                                                                                                                                                
    5  Wagon Christ                                                                                                                                                                                               
    4  A Tribe Called Quest                                                                                                                                                                                       
    4  Amon Tobin                                                                                                                                                                                                 
    4  Andrea Parker                                                                                                                                                                                              
    4  Aquasky                                                                                                                                                                                                    
    4  Autechre                                                                                                                                                                                                   
    4  DJ Cam                                                                                                                                                                                                     
    4  DJ Food                                                                                                                                                                                                    
    4  DJ Spooky                                                                                                                                                                                                  
    4  Dead Kennedys                                                                                                                                                                                              
    4  Devo                                                                                                                                                                                                       
    4  Eurythmics                                                                                                                                                                                                 
    4  Fila Brazillia                                                                                                                                                                                             
    4  Fred again..                                                                                                                                                                                               
    4  Gene Loves Jezebel                                                                                                                                                                                         
    4  Gordon Bok                                                                                                                                                                                                 
    4  Grace Jones                                                                                                                                                                                                
    4  Kraftwerk                                                                                                                                                                                                  
    4  Krust                                                                                                                                                                                                      
    4  Love And Rockets                                                                                                                                                                                           
    4  Mr. Scruff                                                                                                                                                                                                 
    4  Prince And The Revolution                                                                                                                                                                                  
    4  S'Express                                                                                                                                                                                                  
    4  Talking Heads                                                                                                                                                                                              
    4  Ted Nugent                                                                                                                                                                                                 
    4  The Art Of Noise                                                                                                                                                                                           
    4  The Clash                                                                                                                                                                                                  
    4  The Psychedelic Furs                                                                                                                                                                                       
    3  AIR                                                                                                                                                                                                        
    3  ASC                                                                                                                                                                                                        
    3  Adam Ant                                                                                                                                                                                                   
    3  Afrika Bambaataa & Soulsonic Force                                                                                                                                                                         
    3  Al Martino                                                                                                                                                                                                 
    3  Bis                                                                                                                                                                                                        
    3  Boards Of Canada                                                                                                                                                                                           
    3  Boney M.                                                                                                                                                                                                   
    3  Caribou                                                                                                                                                                                                    
    3  DJ Die                                                                                                                                                                                                     
    3  Daphni                                                                                                                                                                                                     
    3  Decoder                                                                                                                                                                                                    
    3  Digital Underground                                                                                                                                                                                        
    3  Dntel                                                                                                                                                                                                      
    3  Dom & Roland                                                                                                                                                                                               
    3  Ed Rush & Optical                                                                                                                                                                                          
    3  Elvis Costello & The Attractions                                                                                                                                                                           
    3  Funki Porcini                                                                                                                                                                                              
    3  George Michael                                                                                                                                                                                             
    3  Grandmaster Flash & The Furious Five                                                                                                                                                                       
    3  Jurassic 5                                                                                                                                                                                                 
    3  Kid Koala                                                                                                                                                                                                  
    3  Land Of The Loops                                                                                                                                                                                          
    3  Les Rythmes Digitales                                                                                                                                                                                      
    3  Meat Beat Manifesto                                                                                                                                                                                        
    3  Mono                                                                                                                                                                                                       
    3  Neotropic                                                                                                                                                                                                  
    3  Nia Archives                                                                                                                                                                                               
    3  No Artist                                                                                                                                                                                                  
    3  Orchestral Manoeuvres In The Dark                                                                                                                                                                          
    3  P'Taah                                                                                                                                                                                                     
    3  Pascal                                                                                                                                                                                                     
    3  Pet Shop Boys                                                                                                                                                                                              
    3  Photek                                                                                                                                                                                                     
    3  Pish Posh                                                                                                                                                                                                  
    3  Prince                                                                                                                                                                                                     
    3  Sha Na Na                                                                                                                                                                                                  
    3  Silly Wizard                                                                                                                                                                                               
    3  The Postal Service                                                                                                                                                                                         
    3  Two Lone Swordsmen                                                                                                                                                                                         
    3  Unknown Artist                                                                                                                                                                                             
    2  3rd Bass                                                                                                                                                                                                   
    2  808 State                                                                                                                                                                                                  
    2  Adam And The Ants                                                                                                                                                                                          
    2  Andy C & Shimon                                                                                                                                                                                            
    2  Animal Collective                                                                                                                                                                                          
    2  Animals On Wheels                                                                                                                                                                                          
    2  Aphex Twin                                                                                                                                                                                                 
    2  Aphrodite                                                                                                                                                                                                  
    2  Baby Mammoth                                                                                                                                                                                               
    2  Barbra Streisand                                                                                                                                                                                           
    2  Battlefield Band                                                                                                                                                                                           
    2  Belle & Sebastian                                                                                                                                                                                          
    2  Blame                                                                                                                                                                                                      
    2  Blue Hawaii (2)                                                                                                                                                                                            
    2  Blue Sonix                                                                                                                                                                                                 
    2  Blue Öyster Cult                                                                                                                                                                                           
    2  Boston                                                                                                                                                                                                     
    2  Bugs                                                                                                                                                                                                       
    2  Calyx                                                                                                                                                                                                      
    2  Cause & Effect                                                                                                                                                                                             
    2  Cocteau Twins                                                                                                                                                                                              
    2  Coldcut, Junior Reid, Ahead Of Our Time Orchestra                                                                                                                                                          
    2  Coldcut, Lisa Stansfield                                                                                                                                                                                   
    2  Cut Chemist                                                                                                                                                                                                
    2  DJ Rap                                                                                                                                                                                                     
    2  DJ Z-Trip                                                                                                                                                                                                  
    2  Danny Breaks                                                                                                                                                                                               
    2  Danny L Harle                                                                                                                                                                                              
    2  Death In Vegas                                                                                                                                                                                             
    2  Decoder & Substance                                                                                                                                                                                        
    2  Derrick Carter                                                                                                                                                                                             
    2  Dieselboy                                                                                                                                                                                                  
    2  Duran Duran                                                                                                                                                                                                
    2  Dylan                                                                                                                                                                                                      
    2  Earth, Wind & Fire                                                                                                                                                                                         
    2  Eat Static                                                                                                                                                                                                 
    2  Echo & The Bunnymen                                                                                                                                                                                        
    2  Electric Light Orchestra                                                                                                                                                                                   
    2  Elvis Costello                                                                                                                                                                                             
    2  Eric B. & Rakim                                                                                                                                                                                            
    2  Everything But The Girl                                                                                                                                                                                    
    2  Falco                                                                                                                                                                                                      
    2  Fatboy Slim                                                                                                                                                                                                
    2  Fog                                                                                                                                                                                                        
    2  Frank Sinatra                                                                                                                                                                                              
    2  Fugees                                                                                                                                                                                                     
    2  Funkmaster Flex & The Ghetto Celebs                                                                                                                                                                        
    2  Gang Of Four                                                                                                                                                                                               
    2  Gary Numan                                                                                                                                                                                                 
    2  Grandmaster Flash                                                                                                                                                                                          
    2  Groove Armada                                                                                                                                                                                              
    2  GusGus                                                                                                                                                                                                     
    2  Headrillaz                                                                                                                                                                                                 
    2  Helena Hauff                                                                                                                                                                                               
    2  Hive                                                                                                                                                                                                       
    2  Howling Gael                                                                                                                                                                                               
    2  Humble Pie                                                                                                                                                                                                 
    2  I-F                                                                                                                                                                                                        
    2  INXS                                                                                                                                                                                                       
    2  Jacob's Optical Stairway                                                                                                                                                                                   
    2  Kansas (2)                                                                                                                                                                                                 
    2  Kieran Hebden, Steve Reid (2)                                                                                                                                                                              
    2  Kitachi                                                                                                                                                                                                    
    2  Klute                                                                                                                                                                                                      
    2  Kool & The Gang                                                                                                                                                                                            
    2  LCD Soundsystem                                                                                                                                                                                            
    2  La Bamboche                                                                                                                                                                                                
    2  Laurent Garnier                                                                                                                                                                                            
    2  Lemon D                                                                                                                                                                                                    
    2  Lil' Louis                                                                                                                                                                                                 
    2  Lionel Richie                                                                                                                                                                                              
    2  Lo-Fidelity Allstars                                                                                                                                                                                       
    2  London Funk Allstars                                                                                                                                                                                       
    2  Long Hind Legs                                                                                                                                                                                             
    2  Loop Guru                                                                                                                                                                                                  
    2  Luke Vibert                                                                                                                                                                                                
    2  Lynyrd Skynyrd                                                                                                                                                                                             
    2  MC Tunes, 808 State                                                                                                                                                                                        
    2  Madonna                                                                                                                                                                                                    
    2  Makai                                                                                                                                                                                                      
    2  Malicorne                                                                                                                                                                                                  
    2  Marcus Intalex & ST Files                                                                                                                                                                                  
    2  Massive Attack                                                                                                                                                                                             
    2  Mix Master Mike                                                                                                                                                                                            
    2  Morrissey                                                                                                                                                                                                  
    2  Moving Fusion                                                                                                                                                                                              
    2  Nasty Habits                                                                                                                                                                                               
    2  New Order                                                                                                                                                                                                  
    2  Nirvana                                                                                                                                                                                                    
    2  Nitzer Ebb                                                                                                                                                                                                 
    2  PC Synergy                                                                                                                                                                                                 
    2  Peter Gabriel                                                                                                                                                                                              
    2  Pierre Henry, Michel Colombier                                                                                                                                                                             
    2  Pizzicato Five                                                                                                                                                                                             
    2  Public Enemy                                                                                                                                                                                               
    2  Q-Burns Abstract Message                                                                                                                                                                                   
    2  REO Speedwagon                                                                                                                                                                                             
    2  Radiohead                                                                                                                                                                                                  
    2  Rakim                                                                                                                                                                                                      
    2  Ramones                                                                                                                                                                                                    
    2  Retroflex                                                                                                                                                                                                  
    2  Rhythim Is Rhythim, Derrick May, Mayday                                                                                                                                                                    
    2  Rob Swift                                                                                                                                                                                                  
    2  Rockers Hi-Fi                                                                                                                                                                                              
    2  Roni Size / Reprazent                                                                                                                                                                                      
    2  Run-DMC                                                                                                                                                                                                    
    2  Sex Pistols                                                                                                                                                                                                
    2  Shantel                                                                                                                                                                                                    
    2  Simon & Garfunkel                                                                                                                                                                                          
    2  Sophie (42)                                                                                                                                                                                                
    2  St Germain                                                                                                                                                                                                 
    2  Steely Dan                                                                                                                                                                                                 
    2  Stimming                                                                                                                                                                                                   
    2  Suv                                                                                                                                                                                                        
    2  Takako Minekawa                                                                                                                                                                                            
    2  Tango & Ratty                                                                                                                                                                                              
    2  Technotronic, Ya Kid K                                                                                                                                                                                     
