discogs_artist,discogs_release,discogs_track,soundcloud_track,soundcloud_url,confidence,status
µ-Ziq,1979, Majadahonda At Dawn,Majadahonda at Dawn,https://soundcloud.com/mikep/majadahonda-at-dawn?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Billowy,Billowy,https://soundcloud.com/mikep/billowy?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Clari 1 ,Clari 1,https://soundcloud.com/mikep/clari-1?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Clari 2,Clari 2,https://soundcloud.com/mikep/clari-2?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Escorial,Escorial,https://soundcloud.com/mikep/escorial?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Floatation,Floatation,https://soundcloud.com/mikep/floatation?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Galletas,Galletas,https://soundcloud.com/mikep/galletas?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Holmbush ,Holmbush,https://soundcloud.com/mikep/holmbush?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Houzz 14,Houzz 14,https://soundcloud.com/mikep/houzz-14?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Majadahonda At Dusk,Majadahonda at Dusk,https://soundcloud.com/mikep/majadahonda-at-dusk?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Pulsar,Pulsar,https://soundcloud.com/mikep/pulsar-1?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Radox,Radox,https://soundcloud.com/mikep/radox?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Tente,Tente,https://soundcloud.com/mikep/tente?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,The Next Room,The Next Room,https://soundcloud.com/mikep/the-next-room?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
µ-Ziq,1979,Yemas,Yemas,https://soundcloud.com/mikep/yemas?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
Kero Kero Bonito,Bonito Generation,Big City,Big City,https://soundcloud.com/kerokerobonito/big-city?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
Kero Kero Bonito,Bonito Generation,Break,Break,https://soundcloud.com/kerokerobonito/break?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
Kero Kero Bonito,Bonito Generation,Fish Bowl,Fish Bowl,https://soundcloud.com/kerokerobonito/fish-bowl?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
Kero Kero Bonito,Bonito Generation,Graduation,Graduation,https://soundcloud.com/kerokerobonito/graduation?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
Kero Kero Bonito,Bonito Generation,Heard A Song,Heard A Song,https://soundcloud.com/kerokerobonito/heard-a-song?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
Kero Kero Bonito,Bonito Generation,Hey Parents,Hey Parents,https://soundcloud.com/kerokerobonito/hey-parents?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
Kero Kero Bonito,Bonito Generation,Lipslap,Lipslap,https://soundcloud.com/kerokerobonito/lipslap?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
Kero Kero Bonito,Bonito Generation,Paintbrush,Paintbrush,https://soundcloud.com/kerokerobonito/paintbrush?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
Kero Kero Bonito,Bonito Generation,Picture This,Picture This,https://soundcloud.com/kerokerobonito/picture-this?utm_medium=api&utm_campaign=social_sharing&utm_source=id_325268,1.00,matched
